study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB47011	SAMEA9696936	ERX6130501	ERR6503692	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/002/ERR6503692/ERR6503692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/002/ERR6503692/ERR6503692_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503692/VNHN08_8.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503692/VNHN08_8.R2.fastq.gz	
PRJEB47011	SAMEA9697005	ERX6130570	ERR6503693	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/003/ERR6503693/ERR6503693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/003/ERR6503693/ERR6503693_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503693/VNHN08_80.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503693/VNHN08_80.R2.fastq.gz	
PRJEB47011	SAMEA9697006	ERX6130571	ERR6503694	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/004/ERR6503694/ERR6503694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/004/ERR6503694/ERR6503694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503694/VNHN08_81.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503694/VNHN08_81.R2.fastq.gz	
PRJEB47011	SAMEA9697007	ERX6130572	ERR6503695	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/005/ERR6503695/ERR6503695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/005/ERR6503695/ERR6503695_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503695/VNHN08_82.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503695/VNHN08_82.R2.fastq.gz	
PRJEB47011	SAMEA9697008	ERX6130573	ERR6503696	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/006/ERR6503696/ERR6503696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/006/ERR6503696/ERR6503696_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503696/VNHN08_83.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503696/VNHN08_83.R2.fastq.gz	
PRJEB47011	SAMEA9697009	ERX6130574	ERR6503697	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/007/ERR6503697/ERR6503697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/007/ERR6503697/ERR6503697_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503697/VNHN08_84.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503697/VNHN08_84.R2.fastq.gz	
PRJEB47011	SAMEA9697010	ERX6130575	ERR6503698	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/008/ERR6503698/ERR6503698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/008/ERR6503698/ERR6503698_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503698/VNHN08_85.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503698/VNHN08_85.R2.fastq.gz	
PRJEB47011	SAMEA9697011	ERX6130576	ERR6503699	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6503699/ERR6503699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6503699/ERR6503699_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503699/VNHN08_86.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503699/VNHN08_86.R2.fastq.gz	
PRJEB47011	SAMEA9697012	ERX6130577	ERR6503700	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/000/ERR6503700/ERR6503700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/000/ERR6503700/ERR6503700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503700/VNHN08_87.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503700/VNHN08_87.R2.fastq.gz	
PRJEB47011	SAMEA9697013	ERX6130578	ERR6503701	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/001/ERR6503701/ERR6503701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/001/ERR6503701/ERR6503701_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503701/VNHN08_88.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503701/VNHN08_88.R2.fastq.gz	
PRJEB47011	SAMEA9697014	ERX6130579	ERR6503702	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/002/ERR6503702/ERR6503702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/002/ERR6503702/ERR6503702_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503702/VNHN08_89.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503702/VNHN08_89.R2.fastq.gz	
PRJEB47011	SAMEA9696937	ERX6130502	ERR6503703	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/003/ERR6503703/ERR6503703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/003/ERR6503703/ERR6503703_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503703/VNHN08_9.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503703/VNHN08_9.R2.fastq.gz	
PRJEB47011	SAMEA9697015	ERX6130580	ERR6503704	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/004/ERR6503704/ERR6503704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/004/ERR6503704/ERR6503704_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503704/VNHN08_90.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503704/VNHN08_90.R2.fastq.gz	
PRJEB47011	SAMEA9697016	ERX6130581	ERR6503705	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/005/ERR6503705/ERR6503705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/005/ERR6503705/ERR6503705_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503705/VNHN08_91.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503705/VNHN08_91.R2.fastq.gz	
